Customer_ID,Customer_Type,First_Name,Last_Name,Gender,Age,Marital_Status,Children,Employment_Status,Income_Level,Address_Line1,Address_Line2,City,State,Pincode,Phone_No,Email_ID
CUST_068,New,Girish,Shetty,Male,35,Divorced,Yes,Employed,0 - 2L,"21/17,Dora Circle,Jayanagar East",,Bangalore,Karnataka,560069,9996784561,girish_shetty_54@gmail.com
CUST_069,Existing,Finn,Samra,Male,45,Married,Yes,Unemployed,5 - 10L,"02/370,Kadakia Ganj,Vidyaranyapura",,Bangalore,Karnataka,560097,9547455157,finn_samra_91@gmail.com
CUST_070,Existing,Bhavini,Maharaj,Female,53,Single,No,Unemployed,10 - 15L,"H.No. 47,Magar Chowk,J P Nagar",,Bangalore,Karnataka,560078,9476953921,bhavini_maharaj_24@gmail.com
CUST_071,Existing,Jai,Joshi,Male,67,Married,Yes,Retired,2 - 5L,"07/965,Subramanian Path,Jayanagar East",,Bangalore,Karnataka,560069,8568361615,jai_joshi_46@gmail.com
CUST_072,New,Liam,Dugal,Male,42,Divorced,No,Employed,5 - 10L,"717,Batta Road,Bannerghatta",,Bangalore,Karnataka,560083,8456043568,liam_dugal_66@gmail.com
CUST_073,New,Shivani,Morar,Female,50,Single,No,Unemployed,2 - 5L,"25/04,Oza Street,Bangalore City H.O.",,Bangalore,Karnataka,560002,8497487458,shivani_morar_39@gmail.com
CUST_074,New,Nihal,Konda,Male,34,Divorced,No,Self Employed,0 - 2L,"H.No. 054,Sachdeva Ganj,HMT",,Bangalore,Karnataka,560031,9980026348,nihal_konda_98@gmail.com
CUST_075,Existing,Kalpit,Wable,Male,69,Married,No,Self Employed,10 - 15L,"03/80,Rai Street,Nagashettyhalli",,Bangalore,Karnataka,560094,8885304022,kalpit_wable_95@gmail.com
CUST_076,New,Zashil,Chakraborty,Male,21,Single,Yes,Unemployed,2 - 5L,"538,Panchal Path,Shanthinagar",,Bangalore,Karnataka,560027,8136907760,zashil_chakraborty_22@gmail.com
CUST_077,New,Nakul,Iyengar,Male,53,Married,Yes,Student,5 - 10L,"H.No. 91,Venkatesh Street,Vimanapura",,Bangalore,Karnataka,560017,8509826359,nakul_iyengar_82@gmail.com
CUST_078,Existing,Harish,Saini,Male,35,Divorced,Yes,Unemployed,0 - 2L,"60,Pant Nagar,C V Raman Nagar",,Bangalore,Karnataka,560093,9296756279,harish_saini_79@gmail.com
CUST_079,New,Warhi,Garg,Female,20,Divorced,Yes,Unemployed,0 - 2L,"86/637,Saini Path,Yeswantpur",,Bangalore,Karnataka,560022,8778575053,warhi_garg_67@gmail.com
CUST_080,New,Tarak,Pingle,Male,44,Single,Yes,Self Employed,5 - 10L,"H.No. 23,Dalal Ganj,Ulsoor H.O.",,Bangalore,Karnataka,560008,8916153578,tarak_pingle_88@gmail.com
CUST_081,Existing,Kashvi,Setty,Female,55,Single,No,Retired,5 - 10L,"82/74,Vyas Street,Hebbal Agri. Farm",,Bangalore,Karnataka,560024,9067943944,kashvi_setty_29@gmail.com
CUST_082,Existing,Utkarsh,Shetty,Male,55,Single,No,Student,20+L,"03/89,Kulkarni Circle,C V Raman Nagar",,Bangalore,Karnataka,560093,9660168149,utkarsh_shetty_89@gmail.com
CUST_083,New,Yash,Lad,Male,58,Single,No,Retired,10 - 15L,"60/34,Madan Road,Madivala",,Bangalore,Karnataka,560068,8226365785,yash_lad_100@gmail.com
CUST_084,Existing,Chakradev,Iyengar,Male,41,Married,No,Employed,5 - 10L,"61/90,Solanki Street,Kadugodi",,Bangalore,Karnataka,560067,9520739918,chakradev_iyengar_60@gmail.com
CUST_085,Existing,Azaan,Sarin,Male,28,Single,Yes,Self Employed,10 - 15L,"03,Cheema Path,Viveknagar",,Bangalore,Karnataka,560047,9594940715,azaan_sarin_89@gmail.com
CUST_086,New,Kala,Varughese,Female,24,Married,No,Self Employed,15 - 20L,"H.No. 503,Mall Ganj,Domlur",,Bangalore,Karnataka,560071,9475109583,kala_varughese_2@gmail.com
CUST_087,New,Henry,Kohli,Male,69,Married,Yes,Unemployed,0 - 2L,"455,Barman Path,Hesaraghatta Lake",,Bangalore,Karnataka,560089,9383581737,henry_kohli_66@gmail.com
CUST_088,Existing,Aradhana,Aurora,Female,56,Married,No,Employed,20+L,"H.No. 874,Tella Nagar,Viveknagar",,Bangalore,Karnataka,560047,8724939833,aradhana_aurora_62@gmail.com
CUST_089,New,Faraj,Gara,Male,27,Married,No,Unemployed,15 - 20L,"H.No. 26,Randhawa Chowk,RT Nagar",,Bangalore,Karnataka,560032,9851377624,faraj_gara_81@gmail.com
CUST_090,Existing,Inaya,Chaudhary,Female,53,Single,No,Unemployed,10 - 15L,"H.No. 285,Deo Chowk,Nagarbhavi",,Bangalore,Karnataka,560072,9906675326,inaya_chaudhary_45@gmail.com
CUST_091,New,Hemani,Chand,Female,58,Single,No,Retired,20+L,"32/39,Chandran Zila,Hospital Town West",,Bangalore,Karnataka,560015,8117714089,hemani_chand_23@gmail.com
CUST_092,New,Janani,Zachariah,Female,40,Divorced,Yes,Self Employed,10 - 15L,"19,Sankaran Ganj,J C Nagar",,Bangalore,Karnataka,560006,9336500663,janani_zachariah_53@gmail.com
CUST_093,Existing,Oliver,Parsa,Male,56,Divorced,Yes,Self Employed,15 - 20L,"H.No. 36,Dixit Zila,Air Force Stn. Yelahanka",,Bangalore,Karnataka,560063,8049835277,oliver_parsa_60@gmail.com
CUST_094,Existing,Yamini,Sankaran,Female,66,Married,Yes,Student,0 - 2L,"23/392,Balan Marg,Nayandahalli",,Bangalore,Karnataka,560039,9664784789,yamini_sankaran_85@gmail.com
CUST_095,Existing,Siya,Karpe,Female,21,Divorced,No,Self Employed,5 - 10L,"H.No. 24,Sarna Ganj,J P Nagar",,Bangalore,Karnataka,560078,8302222971,siya_karpe_81@gmail.com
CUST_096,New,Qabil,Kunda,Male,30,Single,No,Employed,20+L,"H.No. 28,Nagi,Shanthinagar",,Bangalore,Karnataka,560027,9712725972,qabil_kunda_11@gmail.com
CUST_097,Existing,Wahab,Goswami,Male,30,Divorced,No,Student,15 - 20L,"H.No. 499,Loyal Circle,Kothanur",,Bangalore,Karnataka,560077,9455786982,wahab_goswami_40@gmail.com
CUST_098,Existing,Jacob,Natarajan,Male,23,Divorced,No,Employed,20+L,"07/45,Pillai Road,Kothanur, Hennur, Bagalur Road",,Bangalore,Karnataka,560077,8526388205,jacob_natarajan_18@gmail.com
CUST_099,Existing,Akshay,Mannan,Male,27,Married,No,Unemployed,15 - 20L,"04,Brar Road,Peenya S.I.",,Bangalore,Karnataka,560058,9258933721,akshay_mannan_78@gmail.com
CUST_100,Existing,Gautami,Mander,Female,50,Single,Yes,Employed,0 - 2L,"339,Peri,Bansawadi",,Bangalore,Karnataka,560043,9156586733,gautami_mander_34@gmail.com
CUST_101,New,Jambi,Mambi,Male,30,Single,Yes,Employed,0 - 2L,"300,23rd Cross, J P Nagar",,Bangalore,Karnataka,560078,8002345664,jambi_mambi_30@gmail.com
